date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:22:14	367/367	---M--	200	added ('OK')	text/plain	etag:%2216f-5429fc7ddfa00%22	https://www.networkinfrastructure.biz/robots.txt		(from )
14:22:14	11762/-1	---M--	200	added ('OK')	text/html	date:Mon,%2007%20Dec%202020%2019:23:07%20GMT	https://www.networkinfrastructure.biz/	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/index.html	(from )
14:22:14	11762/11762	---MC-	200	added ('OK')	text/html	date:Mon,%2007%20Dec%202020%2019:23:07%20GMT	https://www.networkinfrastructure.biz/index.php	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/index-2.html	(from https://www.networkinfrastructure.biz/)
14:22:14	1523/1523	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2257581f69-5f3%22	https://www.networkinfrastructure.biz/files/1814/6539/3001/netinf_16.ico	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/files/1814/6539/3001/netinf_16.ico	(from https://www.networkinfrastructure.biz/)
14:22:15	3723/3723	---M--	200	added ('OK')	image/png	etag:%2257581f65-e8b%22	https://www.networkinfrastructure.biz/files/7114/6539/2997/netinf_57.png	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/files/7114/6539/2997/netinf_57.png	(from https://www.networkinfrastructure.biz/)
14:22:15	2101/2101	---M--	200	added ('OK')	text/css	etag:%22575873ef-835%22	https://www.networkinfrastructure.biz/packages/whale_nivo_slider/blocks/whale_nivo_slider/css/nivo-slider.css	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/packages/whale_nivo_slider/blocks/whale_nivo_slider/css/nivo-slider.css	(from https://www.networkinfrastructure.biz/)
14:22:15	12201/12201	---M--	200	added ('OK')	application/javascript	etag:%22575873ef-2fa9%22	https://www.networkinfrastructure.biz/packages/whale_nivo_slider/blocks/whale_nivo_slider/js/jquery.nivo.slider.pack.js	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/packages/whale_nivo_slider/blocks/whale_nivo_slider/js/jquery.nivo.slider.pack.js	(from https://www.networkinfrastructure.biz/)
14:22:15	2046/2046	---M--	200	added ('OK')	text/css	etag:%2257588054-7fe%22	https://www.networkinfrastructure.biz/packages/whale_nivo_slider/css/nivo_themes/default/default.css	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/packages/whale_nivo_slider/css/nivo_themes/default/default.css	(from https://www.networkinfrastructure.biz/)
14:22:16	127685/127685	---M--	200	added ('OK')	text/css	etag:%225e960f8c-1f2c5%22	https://www.networkinfrastructure.biz/files/cache/css/netinf/css/bootstrap.css	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/files/cache/css/netinf/css/bootstrap.css	(from https://www.networkinfrastructure.biz/)
14:22:16	22115/22115	---M--	200	added ('OK')	text/css	etag:%225e960f8c-5663%22	https://www.networkinfrastructure.biz/files/cache/css/netinf/css/bootstrap-responsive.css	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/files/cache/css/netinf/css/bootstrap-responsive.css	(from https://www.networkinfrastructure.biz/)
14:22:16	27367/27367	---M--	200	added ('OK')	text/css	etag:%225e960f8c-6ae7%22	https://www.networkinfrastructure.biz/files/cache/css/netinf/css/font-awesome.css	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/files/cache/css/netinf/css/font-awesome.css	(from https://www.networkinfrastructure.biz/)
14:22:16	2772/2772	---M--	200	added ('OK')	text/css	etag:%225e960f8c-ad4%22	https://www.networkinfrastructure.biz/files/cache/css/netinf/netinf_custom.css	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/files/cache/css/netinf/netinf_custom.css	(from https://www.networkinfrastructure.biz/)
14:22:17	2293/2293	---M--	200	added ('OK')	text/css	etag:%225e960f8c-8f5%22	https://www.networkinfrastructure.biz/files/cache/css/netinf/typography.css	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/files/cache/css/netinf/typography.css	(from https://www.networkinfrastructure.biz/)
14:22:17	13922/13922	---M--	200	added ('OK')	text/css	etag:%225e960f8c-3662%22	https://www.networkinfrastructure.biz/files/cache/css/netinf/theme-style.css	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/files/cache/css/netinf/theme-style.css	(from https://www.networkinfrastructure.biz/)
14:22:17	2725/2725	---MCZ	200	added ('OK')	text/javascript	etag:W/%224e20f4faef7600d872ac47a4402ad63a%22	https://use.fontawesome.com/669425903a.js	C:/My%20Web%20Sites/netw/use.fontawesome.com/669425903a.js	(from https://www.networkinfrastructure.biz/)
14:22:17	7417/7417	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Dec%202020%2019:23:11%20GMT	https://www.networkinfrastructure.biz/favicon.ico	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/favicon.ico	(from https://www.networkinfrastructure.biz/)
14:22:18	12498/12498	---M--	200	added ('OK')	image/png	etag:%2257582fff-30d2%22	https://www.networkinfrastructure.biz/themes/netinf/images/netinf_logo.png	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/themes/netinf/images/netinf_logo.png	(from https://www.networkinfrastructure.biz/)
14:22:18	698723/698723	---M--	200	added ('OK')	image/png	etag:%2257587eab-aa963%22	https://www.networkinfrastructure.biz/files/1714/6541/7387/banner_1.png	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/files/1714/6541/7387/banner_1.png	(from https://www.networkinfrastructure.biz/)
14:22:18	10570/10570	---MC-	200	added ('OK')	text/html	date:Mon,%2007%20Dec%202020%2019:23:11%20GMT	https://www.networkinfrastructure.biz/about-us/company-history/	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/about-us/company-history/index.html	(from https://www.networkinfrastructure.biz/)
14:22:18	866058/866058	---M--	200	added ('OK')	image/png	etag:%2257587ead-d370a%22	https://www.networkinfrastructure.biz/files/4314/6541/7389/banner_2.png	C:/My%20Web%20Sites/netw/www.networkinfrastructure.biz/files/4314/6541/7389/banner_2.png	(from https://www.networkinfrastructure.biz/)
